# BUSCO version is: 5.8.0 
# The lineage dataset is: saccharomycetes_odb10 (Creation date: 2020-08-05, number of genomes: 76, number of BUSCOs: 2137)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at4891	Complete	h1tg000004l_path	364559	350063	-	4075.8	2866	https://www.orthodb.org/v10?query=0at4891	Midasin
6at4891	Complete	h1tg000002l_path	303124	314358	+	4231.5	2825	https://www.orthodb.org/v10?query=6at4891	PIK-related kinase
23at4891	Complete	h1tg000004l_path	63701	54279	-	2442.3	2183	https://www.orthodb.org/v10?query=23at4891	Vacuolar protein sorting-associated protein
42at4891	Complete	h1tg000014l_path	172334	165744	-	3405.2	1777	https://www.orthodb.org/v10?query=42at4891	Carbamoyl-phosphate synthase small subunit, N-terminal domain
50at4891	Complete	h1tg000004l_path	316559	307698	-	1708.2	1679	https://www.orthodb.org/v10?query=50at4891	Protein CSF1
61at4891	Complete	h1tg000011l_path	1369700	1379505	+	1841.0	1514	https://www.orthodb.org/v10?query=61at4891	E3 ubiquitin ligase, domain of unknown function DUF908
85at4891	Fragmented	h1tg000002l_path	481319	429873	-	1689.6	929	https://www.orthodb.org/v10?query=85at4891	Pre-mRNA-processing-splicing factor 8
86at4891	Complete	h1tg000017l_path	661259	654620	-	3330.5	1831	https://www.orthodb.org/v10?query=86at4891	Acetyl-CoA carboxylase
93at4891	Complete	h1tg000013l_path	131717	139087	+	2013.2	1449	https://www.orthodb.org/v10?query=93at4891	protein kinase regulator activity
95at4891	Complete	h1tg000011l_path	155618	149183	-	3139.3	1747	https://www.orthodb.org/v10?query=95at4891	Glutamate synthase
115at4891	Complete	h1tg000003l_path	113235	106120	-	1488.9	1226	https://www.orthodb.org/v10?query=115at4891	transcriptional activator leucine zipper
145at4891	Complete	h1tg000009l_path	505595	512699	+	1222.8	1235	https://www.orthodb.org/v10?query=145at4891	Phosphatidylinositol 3-/4-kinase, catalytic domain
154at4891	Complete	h1tg000009l_path	59387	51027	-	348.4	243	https://www.orthodb.org/v10?query=154at4891	Serine/threonine-protein kinase Tel1
170at4891	Complete	h1tg000017l_path	148194	154834	+	2294.0	1578	https://www.orthodb.org/v10?query=170at4891	DNA polymerase epsilon catalytic subunit
216at4891	Complete	h1tg000004l_path	743928	738598	-	1106.0	888	https://www.orthodb.org/v10?query=216at4891	Phosphatidylinositol 3-/4-kinase, catalytic domain
227at4891	Complete	h1tg000013l_path	107693	102755	-	2550.8	1455	https://www.orthodb.org/v10?query=227at4891	Clathrin heavy chain
245at4891	Complete	h1tg000005l_path	961523	966511	+	2438.1	1332	https://www.orthodb.org/v10?query=245at4891	DNA-directed RNA polymerase subunit
274at4891	Complete	h1tg000015l_path	100708	106383	+	2545.6	1509	https://www.orthodb.org/v10?query=274at4891	Fatty acid synthase
300at4891	Complete	h1tg000012l_path	185076	191429	+	1260.8	869	https://www.orthodb.org/v10?query=300at4891	Phosphatidylinositol-4-phosphate 5-kinase, core
331at4891	Complete	h1tg000014l_path	217272	211966	-	1263.6	1194	https://www.orthodb.org/v10?query=331at4891	BP28, C-terminal domain
364at4891	Complete	h1tg000011l_path	704443	709206	+	1870.1	1228	https://www.orthodb.org/v10?query=364at4891	Pentafunctional AROM polypeptide
365at4891	Complete	h1tg000011l_path	210482	205307	-	2529.2	1303	https://www.orthodb.org/v10?query=365at4891	DNA-directed RNA polymerase subunit
369at4891	Complete	h1tg000015l_path	506189	501602	-	1361.4	876	https://www.orthodb.org/v10?query=369at4891	Phospholipase
394at4891	Complete	h1tg000010l_path	282197	288460	+	1243.5	1089	https://www.orthodb.org/v10?query=394at4891	CCR4-NOT transcription complex subunit 1, HEAT repeat 1
414at4891	Complete	h1tg000005l_path	544564	540279	-	2181.4	1186	https://www.orthodb.org/v10?query=414at4891	DNA-directed RNA polymerase subunit
419at4891	Complete	h1tg000005l_path	617069	613416	-	2184.9	1049	https://www.orthodb.org/v10?query=419at4891	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
425at4891	Fragmented	h1tg000006l_path	580959	578350	-	1528.3	759	https://www.orthodb.org/v10?query=425at4891	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
431at4891	Complete	h1tg000009l_path	473519	469737	-	1730.0	1009	https://www.orthodb.org/v10?query=431at4891	L-aminoadipate-semialdehyde dehydrogenase
443at4891	Complete	h1tg000014l_path	684413	689005	+	1095.3	816	https://www.orthodb.org/v10?query=443at4891	Vacuolar membrane-associated protein IML1
455at4891	Complete	h1tg000013l_path	720627	724975	+	954.6	927	https://www.orthodb.org/v10?query=455at4891	Transcription elongation factor Spt6
468at4891	Complete	h1tg000016l_path	583245	578746	-	1493.1	960	https://www.orthodb.org/v10?query=468at4891	P-type ATPase
469at4891	Complete	h1tg000006l_path	95068	90590	-	633.6	810	https://www.orthodb.org/v10?query=469at4891	Rho GTPase activation protein
471at4891	Complete	h1tg000001l_path	482498	476004	-	833.0	955	https://www.orthodb.org/v10?query=471at4891	Ras guanine nucleotide exchange factor domain superfamily
510at4891	Complete	h1tg000011l_path	1141043	1144705	+	1184.4	943	https://www.orthodb.org/v10?query=510at4891	Protein MSN5
514at4891	Complete	h1tg000002l_path	41043	45692	+	1244.0	1082	https://www.orthodb.org/v10?query=514at4891	Proteasome component ECM29
515at4891	Complete	h1tg000001l_path	505046	509395	+	1573.3	899	https://www.orthodb.org/v10?query=515at4891	Chromo domain
519at4891	Complete	h1tg000009l_path	227658	235136	+	1812.1	1698	https://www.orthodb.org/v10?query=519at4891	Armadillo-type fold
528at4891	Fragmented	h1tg000013l_path	616149	612094	-	1216.7	779	https://www.orthodb.org/v10?query=528at4891	PurM-like, C-terminal domain
535at4891	Duplicated	h1tg000009l_path	75537	79760	+	847.2	820	https://www.orthodb.org/v10?query=535at4891	Nucleoporin-domain-containing protein
535at4891	Duplicated	h1tg000001l_path	371843	367926	-	726.9	809	https://www.orthodb.org/v10?query=535at4891	Nucleoporin-domain-containing protein
540at4891	Complete	h1tg000016l_path	67271	62600	-	1035.4	1199	https://www.orthodb.org/v10?query=540at4891	Nucleoporin Nup188
569at4891	Complete	h1tg000006l_path	236642	232560	-	1067.1	769	https://www.orthodb.org/v10?query=569at4891	DNA polymerase
578at4891	Complete	h1tg000011l_path	1063308	1067378	+	893.2	947	https://www.orthodb.org/v10?query=578at4891	pre-mRNA 3'-end processing factor CF II
